Timestamp,Force_X_N,Force_Y_N,Force_Z_N,Force_Magnitude_N,Quat_Q1,Quat_Q2,Quat_Q3,Quat_Q4,Correction_Gain
2025/08/10 16:08:06.059,0.062,1.263,-23.484,23.51802009098555,0.968668,0.247341,0.021729,-0.005548,1.0
2025/08/10 16:08:06.144,0.064,1.266,-23.495,23.529170767368747,0.968655,0.247338,0.022332,-0.005702,1.0
2025/08/10 16:08:06.245,0.083,1.245,-23.452,23.48517017183397,0.968477,0.247292,0.029043,-0.007415,1.0
2025/08/10 16:08:06.344,0.073,1.255,-23.478,23.511631972281293,0.968576,0.247318,0.025532,-0.006519,1.0
2025/08/10 16:08:06.445,0.063,1.265,-23.504,23.53810124032948,0.968659,0.247339,0.022129,-0.00565,1.0
2025/08/10 16:08:06.544,0.09,1.244,-23.468,23.501120398823545,0.968405,0.247274,0.031337,-0.008001,1.0
2025/08/10 16:08:06.645,0.081,1.248,-23.467,23.500301147006606,0.968501,0.247299,0.028228,-0.007207,1.0
2025/08/10 16:08:06.744,0.055,1.269,-23.502,23.5362994117597,0.968723,0.247355,0.019123,-0.004882,1.0
2025/08/10 16:08:06.845,0.085,1.241,-23.47,23.50294036923891,0.968461,0.247288,0.029567,-0.007549,1.0
2025/08/10 16:08:06.944,0.093,1.247,-23.45,23.483316588591144,0.968367,0.247264,0.032494,-0.008297,1.0
2025/08/10 16:08:07.045,0.062,1.273,-23.486,23.52055630719648,0.968668,0.247341,0.021736,-0.00555,1.0
2025/08/10 16:08:07.144,0.074,1.256,-23.458,23.491717178614252,0.968566,0.247315,0.025889,-0.00661,1.0
2025/08/10 16:08:07.245,0.089,1.235,-23.442,23.474678059560265,0.968415,0.247277,0.031039,-0.007925,1.0
2025/08/10 16:08:07.344,0.066,1.266,-23.491,23.52518210343971,0.968642,0.247335,0.022877,-0.005841,1.0
2025/08/10 16:08:07.445,0.071,1.266,-23.481,23.51521120466495,0.968597,0.247323,0.024692,-0.006305,1.0
2025/08/10 16:08:07.544,0.089,1.24,-23.45,23.482930417645917,0.968421,0.247278,0.030855,-0.007878,1.0
2025/08/10 16:08:07.645,0.07,1.257,-23.471,23.50473973478541,0.968609,0.247326,0.024248,-0.006191,1.0
2025/08/10 16:08:07.744,0.067,1.27,-23.495,23.52939467984674,0.968629,0.247331,0.023432,-0.005983,1.0
2025/08/10 16:08:07.845,0.088,1.236,-23.452,23.484712985259158,0.968432,0.247281,0.030482,-0.007783,1.0
2025/08/10 16:08:07.944,0.074,1.258,-23.458,23.491824194812967,0.968568,0.247316,0.025799,-0.006587,1.0
2025/08/10 16:08:08.045,0.06,1.267,-23.484,23.518230056702823,0.968687,0.247346,0.020859,-0.005326,1.0
2025/08/10 16:08:08.144,0.087,1.239,-23.441,23.47388274231598,0.968438,0.247282,0.030317,-0.007741,1.0
2025/08/10 16:08:08.245,0.085,1.247,-23.442,23.47529761259695,0.968456,0.247287,0.029719,-0.007588,1.0
2025/08/10 16:08:08.344,0.064,1.265,-23.479,23.513140198620853,0.968651,0.247337,0.022484,-0.005741,1.0
2025/08/10 16:08:08.445,0.078,1.252,-23.468,23.501502334957227,0.968528,0.247306,0.027268,-0.006962,1.0
2025/08/10 16:08:08.544,0.087,1.239,-23.446,23.478875739694182,0.968434,0.247281,0.030434,-0.007771,1.0
2025/08/10 16:08:08.645,0.059,1.264,-23.485,23.519064649768705,0.968694,0.247348,0.020537,-0.005244,1.0
2025/08/10 16:08:08.744,0.073,1.255,-23.483,23.516624821602267,0.96858,0.247319,0.02535,-0.006473,1.0
2025/08/10 16:08:08.845,0.094,1.243,-23.433,23.466132489185348,0.968358,0.247262,0.03276,-0.008365,1.0
2025/08/10 16:08:08.944,0.065,1.256,-23.473,23.50666905369623,0.968648,0.247336,0.022622,-0.005776,1.0
2025/08/10 16:08:09.045,0.061,1.261,-23.48,23.513915922278876,0.96868,0.247344,0.021212,-0.005416,1.0
2025/08/10 16:08:09.144,0.093,1.24,-23.443,23.4759557419927,0.968377,0.247267,0.032194,-0.00822,1.0
2025/08/10 16:08:09.245,0.074,1.251,-23.462,23.495444686151398,0.968569,0.247316,0.025775,-0.006581,1.0
2025/08/10 16:08:09.344,0.05,1.272,-23.493,23.527463377933458,0.968754,0.247363,0.017489,-0.004465,1.0
2025/08/10 16:08:09.445,0.087,1.24,-23.465,23.497901906340488,0.968443,0.247284,0.030129,-0.007693,1.0
2025/08/10 16:08:09.544,0.084,1.244,-23.46,23.493109457881474,0.968476,0.247292,0.029068,-0.007422,1.0
2025/08/10 16:08:09.645,0.057,1.268,-23.502,23.536250274841997,0.968707,0.247351,0.019917,-0.005085,1.0
2025/08/10 16:08:09.744,0.082,1.245,-23.477,23.51013139053034,0.968491,0.247296,0.028574,-0.007296,1.0
2025/08/10 16:08:09.845,0.093,1.237,-23.443,23.475797473142418,0.968372,0.247266,0.032349,-0.00826,1.0
